##BLOCKS= 1          																															
Plate:	Plate01	1.3	PlateFormat	Spectrum	Fluorescence	TRUE	Raw	FALSE	22			455	560	5			1	24	384	414	Manual	455	Emission Sweep	414	6	Automatic			1	16	None
Wavelength(nm)	Temperature(¡C)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24						
455	23.6	13725.241	12156.353	12102.52	13610.895	12323.306	11556.46	14031.858	12144.374	12978.882	15844.987	14438.683	13443.066	14555.034	13974.949	22608.096	12469.52	15376.069	13044.355	13219.797	12014.722	12613.321	13943.441	15034.471	13593.072						
		14203.261	14502.632	14896.615	13570.993	14485.141	16070.644	17201.992	20716.01	16462.025	27854.367	14792.729	13285.301	13766.228	14379.97	18531.404	13922.208	19680.416	13505.531	13550.197	13715.145	13393.939	14160.69	18501.637	14377.021						
		14125.821	32607.754	16671.91	39076.074	12695.557	13919.93	77023.063	13662.671	14364.925	14555.938	13228.689	14202.17	13368.801	17118.182	16414.623	13975.776	18144.303	12091.722	16423.006	15037.245	13060.9	14964.821	13873.049	27288.205						
		15199.907	25141.104	13551.453	13325.714	20186.506	12922.797	14137.213	14300.949	13204.991	13383.355	12890.637	14347.439	15077.16	14013.325	13171.21	13754.411	17312.082	13017.801	13319.229	13040.231	16613.57	14208.146	26526.963	13327.455						
		17883.975	13407.167	13768.424	12952.1	12566.503	13444.688	15733.467	13878.616	13673.97	12200.6	13317.807	13903.421	12948.871	12034.014	14072.725	13685.796	19984.391	13445.521	13704.12	13146.495	18523.998	14992.109	38392.75	18643.986						
		14547.414	12358.104	15008.795	13451.57	12619.644	19361.393	13278.727	13275.876	12813.832	13792.367	13147.348	11969.181	12285.168	13107.547	23265.852	12675.008	13674.021	13546.381	13600.312	12637.129	15517.819	12983.742	15494.623	13792.185						
		14154.308	16746.244	12954.33	12303.194	13468.449	13063.412	13678.109	12900.589	13271.333	12982.527	12150.185	14117.44	14279.612	12057.731	12736.584	14059.139	14544.35	13629.59	13136.317	12661.175	14491.811	13619.244	12933.241	19338.316						
		13879.807	12832.094	15632.821	13887.587	13968.145	12641.646	13038.534	13195.451	15107.915	13683.722	12939.079	13463.098	12509.13	13759.538	13601.844	12850.064	13449.606	12624.229	15437.19	13007.968	14281.238	13800.722	14066.892	13097.498						
		28527.6	12786.006	12780.203	11800.837	13825.347	12294.935	12338.656	12301.953	13275.729	12810.69	12714.416	13088.278	14248.237	13258.456	13402.406	12505.649	13679.596	15429.045	15046.321	12683.488	11748.609	13151.508	11866.646	13910.384						
		14825.809	13619.681	12192.685	11484.903	13234.196	12110.997	13113.921	12103.633	13144.266	11846.521	12425.943	13204.41	12517.219	13108.55	12926.76	13139.92	12709.464	12544.838	12629.417	13009.758	12152.169	13237.305	13514.54	26801.42						
		12229.09	12767.763	13108.518	11579.796	12425.229	13826.242	12814.909	12045.468	14113.838	13815.875	16109.825	15949.606	13089.225	13025.488	15188.553	12636.535	13454.139	12999.646	15061.26	12843.451	13404.739	22456.803	17231.381	12757.286						
		21901.67	18270.945	12772.694	12952.775	12894.575	14267.23	13073.282	13039.772	12821.832	20346.863	12920.649	14174.449	12948.624	13627.475	13841.93	16371.712	14039.287	12908.669	13555.569	12988.709	13438.021	12702.668	12727.646	13360.979						
		14433.947	12684.08	12826.983	13189.874	12142.838	13126.267	12465.415	11915.366	14419.603	14059.007	12782.928	13324.91	12835.013	14030.971	13552.919	14974.211	13719.881	12852.487	13782.916	13406.792	11900.291	12682.65	13844.173	13533.49						
		15576.274	15369.293	13672.846	12757.103	11839.458	14064.396	13032.287	13325.939	12880.203	15233.89	13751.652	14851.557	13507.814	12914.646	12428.305	13442.489	16235.596	15086.615	14071.132	13117.03	16862.258	18503.254	17054.965	13570.844						
		14595.554	12168.836	13016.426	13629.177	13319.023	13943.918	19179.686	20334.031	17819.234	22531.937	19255.018	27492.496	13381.329	20727.619	17901.549	13863.653	26358.963	21069.047	17496.633	18260.25	13817.537	14378.116	19351.564	19786.107						
		15268.283	14553.247	15479.021	12233.098	19731.596	18959.148	15360.599	12966.941	13872.909	15099.948	13464.842	14022.021	16113.81	22660.199	19862.389	19006.227	17867.953	12494.171	14083.857	12504.96	15717.179	19673.268	15073.893	13529.52						
																															
460	23.6	14151.639	11339.559	11577.205	12330.305	13913.561	12617.604	13390.947	12091.167	13298.142	14147.542	14932.808	15031.331	15477.994	14849.133	12653.289	13522.25	15855.014	13193.982	13449.656	13030.702	12364.706	13972.383	13757.533	15191.223						
		14193.512	15227.918	14322.388	13652.08	17246.199	16611.93	14834.296	21763.875	15986.447	27069.33	15404.563	15001.318	15319.536	15629.134	15859.6	15417.841	18117.559	14987.372	14193.566	14732.908	15615.451	14377.998	20405.494	17082.705						
		13901.648	35241.309	18615.062	42602.789	13837.163	13540.527	84873.398	14895.999	16139.302	16022.306	15573.104	19612.141	15550.239	20216.309	17591.955	15779.521	16751.994	15194.233	17356.623	16818.377	14176.543	14689.407	16135.283	28899.865						
		16240.886	28638.543	14332.867	15363.539	22563.311	12974.328	13918.147	14081.915	15838.132	13975.814	14082.891	14666.076	15395.736	14924.376	15093.302	15329.064	15086.455	15047.99	14322.689	13918.895	17217.143	14459.607	27456.881	15964.168						
		16160.178	14193.664	14377.4	14303.903	12715.598	13951.355	17127.893	13772.383	14398.872	14753.61	14611.87	13968.899	13455.77	13208.363	14429.787	13301.625	23890.137	14368.097	15058.867	14057.596	21110.201	16635.736	44640.004	17694.002						
		13514.035	13927.472	14823.668	15077.854	13345.478	22237.631	14488.332	14232.883	15599.347	15048.657	13766.252	13466.792	14087.01	14138.563	24914.604	14475.516	15451.549	15368.864	15359.987	13958.396	14582.937	14499.945	15710.688	14887.879						
		14615.33	17896.432	14648.844	14291.211	14883.523	13870.825	14517.88	14567.849	14039.322	14565.318	14448.619	14377.199	15219.683	14322.596	14130.287	15356.67	14202.382	14254.745	14348.372	14823.286	17153.707	15326.099	14763.838	20897.91						
		13319.313	14583.596	15943.527	13299.406	14061.895	13613.528	14038.11	14683.773	16757.051	14356.332	12665.232	13955.998	13298.732	14154.686	15759.383	14586.431	15099.758	15195.597	17228.602	14293.029	15618.344	14770.868	15250.646	14496.693						
		31047.385	13207.347	13181.59	13520.801	12905.423	13871.05	13175.798	13678.494	14936.96	14617.586	13585.576	13585.507	16023.003	14987.858	14267.868	13461.941	14242.025	14473.871	16706.375	13806.126	13125.333	14374.333	14261.77	14156.317						
		14034.73	13488.417	13282.514	13642.082	13233.713	14622.676	13228.038	13860.256	14582.302	14663.441	14053.133	13691.078	14528.824	15701.264	14585.422	14690.321	14939.144	14294.526	13436.759	13787.094	13704.543	13565.028	14160.593	28028.305						
		13889.63	13937.195	13921.975	13426.196	13764.946	14041.366	13596.779	15408.836	13749.563	13728.904	17365.914	18553.973	14516.119	13558.684	17690.727	14665.75	14219.187	15022.645	14727.943	14007.753	17230.047	25440.318	18923.09	13156.974						
		17690.535	13806.499	13943.113	13406.635	14846.078	13491.225	13869.127	14744.298	13569.485	21304.635	14585.188	14208.282	13716.408	14729.037	16543.789	17542.91	14982.709	14633.136	14201.275	14895.104	13218.21	13867.839	14072.629	15104.184						
		14459.711	14921.479	14397.388	13999.65	14105.094	13978.508	15141.498	14276.774	14886.461	13754.665	14467.556	14165.463	21443.109	19776.322	13019.394	15734.443	14394.716	14950.912	14002.1	14974.709	16839.354	16024.976	16484.961	13598.923						
		14895.264	13122.365	13468.904	13690.132	14648.483	14102.415	14184.928	14599.496	20626.316	19834.23	13735.811	14665.313	14656.993	14260.489	14901.622	15063.005	15902.65	16226.812	14537.95	14723.742	13559.694	14959.732	21323.057	14611.638						
		14763.813	13659.106	13793.738	13402.146	13988.649	14493.942	12443.349	15044.227	14931.85	16558.617	19423.162	26694.584	15226.329	22063.496	18239.227	18405.207	16825.838	16219.62	19167.707	18964.637	15431.941	15594.596	19641.598	19904.656						
		16511.15	17484.914	20204.256	16197.724	15041.544	13480.911	20778.707	19811.783	15434.617	15633.484	14350.337	15344.407	14503.871	22807.932	15324.04	14200.434	19079.537	17865.34	13816.237	12767.775	14330.662	18864.619	15608.662	16141.33						
																															
465	23.6	13893.692	13711.519	13749.311	15093.579	14819.914	13767.443	13735.91	13696.582	14280.757	14680.404	14412.711	13541.066	14782.926	15528.564	14730.989	14278.766	16051.326	15131.223	13850.345	14552.84	14755.676	14897.979	14264.798	17590.426						
		14399.417	15010.126	15895.142	14420.435	17459.645	17203.051	15757.587	23301.15	16001.09	29631.107	15637.283	16145.697	16735.881	16903.539	17345.295	16527.877	19223.051	15334.324	16680.521	16622.729	18195.156	15868.392	22986.18	18217.959						
		15018.107	36217.84	18659.086	42268.016	14750.486	16029.094	90773.141	15519.833	16737.842	16306.667	16379.524	19520.861	15924.332	19192.742	18608.813	15905.683	16914.85	16971.211	17771.898	16356.611	15515.665	17166.723	16103.238	29712.762						
		16325.437	30384.092	14324.542	17391.285	23290.988	15776.072	14796.591	15634.042	16569.508	15803.022	15125.813	16680.578	15664.821	15419.355	16233.479	15584.076	17009.76	16245.145	16392.512	14705.896	19489.371	15931.738	31044.074	15846.352						
		17028.313	14729.918	15526.693	14478.049	15816.806	15283.567	17910.467	16459.33	15660.363	16562.531	15483.488	15293.113	16200.551	15373.476	15618.129	16959.438	25099.719	15683.341	16432.73	15666.042	22007.227	17697.943	46712.293	17774.701						
		15232.405	14574.593	17114.004	14973.659	15591.937	24045.818	15437.216	16178.594	14626.747	17054.15	15276.021	15420.984	15342.629	15312.46	24757.625	14496.832	16722.463	17081.006	16700.027	14379.117	17624.16	15870.252	17663.633	16081.526						
		15035.896	18107.697	14876.109	15331.535	16491.293	15570.656	15628.332	15662.332	16079.658	15583.258	14376.864	15962.665	16358.354	16141.812	14827.094	15503.429	17758.891	14028.82	15182.322	16014.29	17078.584	16213.002	16677.85	21842.215						
		14988.048	15999.482	17395.375	15063.967	14917.644	16060.07	16140.574	15687.142	17426.119	15402.165	15346.205	15457.436	15656.508	14581.336	16705.533	16110.82	16334.703	14669.981	18880.437	16322.721	16302.617	16048.471	17291.855	16887.422						
		31480.404	15243.181	13804.12	15326.796	14687.478	14588.556	16883.588	14949.363	15827.013	15704.63	15724.984	15067.649	15468.85	16804.404	14957.514	16418.07	16832.713	18078.527	17997.67	16114.632	15823.953	16395.521	15315.099	15660.555						
		14808.599	14361.917	14386.331	14594.273	15522.361	14868.162	16080.262	14225.768	16108.752	14581.125	15637.993	16665.182	14957.062	16596.234	16852.125	16405.961	16336.728	15313.216	15382.092	15803.388	16465.52	15673.592	16043.953	29216.83						
		15042.971	13649.867	14530.484	14231.914	13093.896	13662.402	14738.927	15220.785	16407.801	15754.259	17969.576	19922.869	15345.196	15175.549	18489.707	15704.387	16740.336	15860.731	16959.42	15257.153	18416.904	26349.527	21592.773	14134.244						
