##BLOCKS= 1          																															
Plate:	Plate01	1.3	PlateFormat	Spectrum	Fluorescence	TRUE	Raw	FALSE	14			495	560	5			13	12	384	475	Manual	495	Emission Sweep	475	6	Automatic			12	5	None
Wavelength(nm)	Temperature(¡C)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24						
495	23.7																														
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
														146395.469	141741.844	133601.75	124542.406	115305.641	107047.086	87979.883	79167.789	64044.094	44146.363	33707.926	36426.852						
														153143.281	142513.687	132310.578	121767.398	138097.109	113422.047	95179.57	97551.398	78189.625	58717.945	50328.906	52916.539						
														166173.406	159487.078	147341.281	139423.531	211285.641	116360.328	108345.57	95219.57	86426.492	79006.797	74358.578	65315.082						
														173413	184319.297	247067.016	143654.891	250453.875	123384.727	131334.047	109317.883	112434.836	110012.453	94010.445	70825.008						
														228323.75	167763.75	215711.641	147475.328	210052.266	130114.016	130182.547	115366.109	113665.805	118808.328	121890.977	87051.523						
																															
500	23.7																														
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
														350975.375	340822.812	316557.5	288752.219	257327.594	258416.437	210060.281	180377.297	136543.781	80596.406	40557.309	24143.734						
														347510.219	334306.25	314349.437	290952.375	285905.406	263609.563	202792.156	199814	155108.406	103012.781	58863.977	39586.875						
														370260.437	361452.094	335077.719	319002.188	329932.094	269770.906	222759.469	203256.828	161051.297	120418.93	78706.156	65125.336						
														378530.406	369989.406	387334.125	320517.562	346918.75	272617.688	262736.781	209911.125	200029.625	149433.344	104859.68	70732.531						
														387052.5	351577.969	364588.594	313827.25	325788.625	273527.469	265798.938	208229.031	200398.906	162251.391	117452.344	90474.922						
																															
505	23.7																														
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
														761465.375	752544.062	689076.438	634092	564547.188	562883.5	450335	391379.688	299701.469	169131.187	70144.797	18664.248						
														766073.125	742517.75	679458.875	636057.5	604305.063	562122.75	417935.406	421481.937	320323.25	203535.375	84914.375	32112.061						
														805261.812	780595.187	715592.688	681335.313	647054.125	578356.375	462307.969	425894.25	315723.156	215659.734	110226.719	67238.031						
														777070	779598.625	745780.25	683076.437	663209.625	576318.375	531734.5	418737.5	386436.031	245841.672	142229.781	74343.289						
														773266.125	734757.312	708838.938	651478.438	629521	570682.5	537211.563	401495.25	379704.906	269176.281	136320.391	94345.914						
																															
510	23.7																														
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
														1599131.75	1549880.25	1448507	1348936.25	1198309.875	1184203.375	981604.562	807806	622203.187	342552.625	136469.766	16764.758						
														1582594.75	1513502	1414151.5	1330611.125	1262605.5	1163494	872877.25	882393.187	662131.687	412362.656	148106.5	31722.373						
														1661864.25	1601215.625	1478974.125	1405457.75	1297840	1207588.25	937893.937	858385.937	636372.875	404939.156	176083.062	67534.422						
														1606538.5	1581418.125	1510815.375	1412108.5	1299796	1176919.25	1085771.25	826229.5	758889.437	446216.906	210861.578	77570.57						
														1551262.625	1490963.375	1442814.5	1324526.25	1259750.875	1158163.25	1075984.75	785446.937	733033.625	476660.5	177066.578	99822.578						
																															
515	23.7																														
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
														3685355	3570238	3323741.75	2975885.25	2691338.75	2597450.25	2076110.125	1724717.25	1343142.375	728296.438	284012.437	15460.813						
														3681033.25	3523879	3300411	2972524.25	2817297	2601961.25	1854848	1865725.375	1411095.25	872243	289258	29851.877						
														3837559.75	3673517.5	3410657.75	3186699	2902858.75	2648441.5	1940265.625	1805631.25	1351038.625	830528.625	338703.813	60451.344						
														3750033.25	3656275.5	3443659	3195132.5	2913088.75	2597930	2368083.25	1734628.375	1555647.25	877483	378557.281	76579.219						
														3654810.5	3485221.5	3327111.75	2972023	2802657.25	2560500.5	2360889.5	1648782.625	1488434.625	934472.188	268894.188	94081.352						
																															
520	23.7																														
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
														6709663.5	6384828.5	5864860.5	5644678.5	5021822	4784788.5	3976011.25	3164856.75	2343711.75	1293070	500126.906	14306.039						
														6599651.5	6295501.5	5841603	5606167	5196968.5	4788071.5	3515640.5	3398438	2469238.5	1530242.25	489175.594	26664.254						
														6956140	6506719	5949382.5	5695617	5307502.5	4850994	3669467.5	3305850.75	2396291	1425055.375	571150.625	55420.965						
														6709226.5	6414445	5976081.5	5640802.5	5388606.5	4743333	4372748.5	3122852.75	2748113	1485126.125	621646.75	67281.219						
														6541155.5	6236686	5844867.5	5556271.5	5232273	4741174	4054534	2943195.25	2600939	1583998.625	394284.156	79415.75						
																															
525	23.6																														
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
														8578362	8118029	7445704	6993968	6271578.5	5962801	4882673	3891807	2843834.25	1558337.25	611455.5	14081.701						
														8405745	7965241.5	7327212.5	6950819.5	6426928	5946822.5	4308308	4202446.5	2979781.5	1816257.75	584137.188	24261.357						
														8634741	8167418	7497613.5	6924771	6529643.5	5979991.5	4499555	4054674.5	2877291.75	1707954.125	701841.25	49113.82						
														8500304	8056637.5	7467858.5	6865570.5	6582823.5	5767939	5284592	3836496	3275584	1765676	743388	60829.652						
