##BLOCKS= 1          																															
Plate:	Plate01	1.3	PlateFormat	Spectrum	Fluorescence	TRUE	Raw	FALSE	22			455	560	5			13	12	384	414	Manual	455	Emission Sweep	414	6	Automatic			12	5	None
Wavelength(nm)	Temperature(¡C)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24						
455	24.2																														
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
														314145.125	326991.531	332421.719	355351.75	346893.781	362595.969	417374.844	405823.156	496063.625	543700.5	666121.062	896220.625						
														447540.719	455173.594	463804.187	539527.875	450932.219	555266.188	577864.687	656605.187	595808.75	870741.687	1010165.625	1080013.625						
														547925.875	577651.25	609612.875	682113.5	666665.562	693917.687	734879.562	941119.5	882018.75	1038515.062	1266647.375	1289989						
																															
500	24																														
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
														114883.617	117891.313	120245.914	122225.625	110599.375	108530.359	112761.875	108189.828	114644.766	132733.453	127833.375	244558.813						
														204390	210432.953	210286.578	221888.469	200666.234	207129.875	224241.094	215714.891	207248.797	218963.187	360513.906	457201.5						
														324757.781	338411.812	342051.5	365178.625	355073.406	369368.844	416882.875	395406.312	476989.594	512362.438	614621.562	823213						
														459092.031	468549.75	477382.281	538243	454767.719	546507.063	563110.313	633262.375	576143.625	802144.875	929713	991631.25						
														545957.25	575937.375	606524.563	661817.5	656938.813	664459.5	701068.5	876288.938	818381.75	960742.687	1140598.75	1176405.625						
																															
505	24																														
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
														146378.953	154406.266	151443.828	155881.234	140097.672	134800.469	139931.719	133253.141	140252.703	142829.609	130053.141	224634.156						
														249403.906	260470.875	254540.141	266596.656	243644.5	249274.578	264735.375	252595.531	224781.422	227867.281	346534.219	422761.125						
														389638.438	402716.781	404469.438	425056.406	414605.625	427871.187	467973.813	444757.469	486283.5	500950.187	584023.75	757462.25						
														522955.812	545635.812	540603	588827.687	514785.875	593859.687	598394.5	662076.875	590499.188	789309.688	871116.313	908389.188						
														611200.125	640459.5	665060.75	711173.688	710246.125	693483.813	728610.625	876554.313	816554.313	923430	1081618.375	1089245.25						
																															
510	24																														
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
														215878.813	226290.578	219663.469	219999.516	203644.625	195838.328	194464.531	182582.453	185879.313	170541.766	149566.656	205852.984						
														356091.438	365077.469	365575.531	379517.469	343440.313	351096.937	357984.25	346415.906	283553.75	267824.469	351036.031	380638.281						
														529177.188	545902.312	558612.25	579963.5	557096.062	546958.625	579398.375	562979.875	553409.438	534385.375	551191.625	676146.375						
														685643.375	705547	713487.375	769524.437	655045.188	734038.312	722228	755520.313	675246.813	803404	820440.5	823013.75						
														787619.875	810602.688	836255.5	877201.188	864329.5	788645	817570.563	951040.938	865908.125	931903.437	988236.5	973574						
																															
515	24																														
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
														387919.719	398551.062	387904.594	386531.906	351321.781	342609.844	337236.438	301479.531	299397.906	238559.016	187573.891	179520.391						
														610999	640845.875	634582	639711.312	593263.062	592786.25	583978.875	560525	417370.469	368454.562	378560.688	328867.75						
														884173.563	920902.062	930952.25	960403.5	914927.438	867356.75	879447.375	847118.937	734841.813	644827.812	550363.187	586915.312						
														1115343.125	1145454.625	1158512.25	1202416.25	1020825.687	1090097.5	1016373.75	1015155.063	873936.125	897475.375	785739.062	719892.813						
														1238810.125	1263475.25	1270776.5	1286047.5	1251558.25	1103519.875	1109209.75	1149726.125	1038388	1004939.187	906740.063	852729.312						
																															
520	24																														
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
														656887.062	678804.062	664675.5	646360.438	572203.813	560205.5	540856.813	475819.719	473138.625	341580.156	254280.328	148499.906						
